NAME; STORE; STANDARD PRICE; ORIGINAL PRICE; SALE PRICE
Funko Pop! Stacks Plastic Protector, ;Hot Topic ;$10.50;
Funko Smallfoot Pop! Movies Migo Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Yu-Gi-Oh! Pop! Animation Blue-Eyes White Dragon Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Big Mouth Pop! Television Hormone Monstress Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Venom Pop! Venomized Hulk Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Mickey's 90th Pocket Pop! Brave Little Tailor Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Mickey's 90th Pocket Pop! Band Concert Mickey Key Chain, ;Hot Topic ;;$6.90;$5.52;;
FUNKO DISNEY TREASURES VILLAINS BOX HOT TOPIC EXCLUSIVE, ;Hot Topic ;$32.90;
Funko Big Mouth Pop! Television Hormone Monster Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Pan's Labyrinth Pop! Movies Fauno Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Big Mouth Pop! Television Nick Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Big Mouth Pop! Television Hormone Monster Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Star Wars: The Clone Wars Pop! Ahsoka Vinyl Bobble-Head Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Marvel Venom Pop! Venom Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Venom Pop! Venomized Captain America Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Elvira Mistress Of The Dark Pocket Pop! Elvira Key Chain, ;Hot Topic ;;$7.90;$6.32;;
Funko The Witch Pop! Movies Black Phillip Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Gremlins 2: The New Batch Pop! Movies Greta Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
