,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Blade Runner 2049 Dorbz Deckard Vinyl Figure, ",Hot Topic,9.50,6.00
1,"Funko Star Wars Pop! Darth Vader Holiday Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
2,"Funko Birdhouse Skateboards Pop! Sports Tony Hawk Vinyl Figure, ",Hot Topic,12.50,9.00
3,"Funko Blade Runner 2049 Dorbz Wallace Vinyl Figure, ",Hot Topic,9.50,6.00
4,"Funko Blade Runner 2049 Dorbz Sapper Vinyl Figure, ",Hot Topic,9.50,6.00
5,"Funko Blade Runner 2049 Dorbz Officer K Vinyl Figure, ",Hot Topic,9.50,6.00
6,"Funko Overwatch Pop! Games Roadhog (Junkenstein's Monster) 6 Inch Vinyl Figure Hot Topic Exclusive, ",Hot Topic,26.90,
7,"Funko Marvel Avengers: Infinity War Vynl. Thanos & Iron Spider Vinyl Figures, ",Hot Topic,18.90,15.12
8,"Funko Aquaman Pocket Pop! Aquaman Classic Suit Vinyl Key Chain, ",Hot Topic,7.90,6.32
9,"Funko DC Comics Aquaman Mystery Minis Blind Box Vinyl Figure, ",Hot Topic,7.90,6.32
10,"Funko Aquaman Pocket Pop! Black Manta Key Chain, ",Hot Topic,7.90,6.32
11,"Funko DC Comics Aquaman Pop! Black Manta Vinyl Figure, ",Hot Topic,12.50,9.00
12,"Funko DC Comics Aquaman Pop! Arthur Curry (Gladiator) Vinyl Figure, ",Hot Topic,12.50,9.00
13,"Funko DC Comics Aquaman Pop! Hero Suit Aquaman Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko Ralph Breaks The Internet Wreck-It Ralph Pop! Key Chain, ",Hot Topic,7.90,6.32
15,"Funko DC Comics Aquaman Pop! Mera Vinyl Figure, ",Hot Topic,12.50,9.00
16,"Funko DC Comics Aquaman Pop! Orm Vinyl Figure, ",Hot Topic,12.50,9.00
17,"Funko Fortnite Pop! Games Raptor Vinyl Figure, ",Hot Topic,12.50,10.00
18,"Funko Fortnite Pop! Games Highrise Assault Trooper Vinyl Figure, ",Hot Topic,12.50,10.00
19,"Funko Fortnite Pop! Games Tower Recon Specialist Vinyl Figure, ",Hot Topic,12.50,10.00
20,"Funko Fortnite Pop! Games Omega Vinyl Figure, ",Hot Topic,12.50,10.00
21,"Funko Fortnite Pop! Games Black Knight Vinyl Figure, ",Hot Topic,12.50,10.00
22,"Funko Fortnite Pop! Games Merry Marauder Vinyl Figure, ",Hot Topic,12.50,10.00
23,"Funko Fortnite Pop! Games Moonwalker Vinyl Figure, ",Hot Topic,12.50,10.00
24,"Funko Fortnite Pop! Games Cuddle Team Leader Vinyl Figure, ",Hot Topic,12.50,10.00
25,"Funko Fortnite Pop! Games Love Ranger Vinyl Figure, ",Hot Topic,12.50,10.00
26,"Funko Disney Diamond Collection Big Hero 6 Pop! Baymax 6 Inch Vinyl Figure Hot Topic Exclusive, ",Hot Topic,24.50,19.60
27,"Funko Five Nights At Freddy's Pocket Pop! Orville Elephant Key Chain, ",Hot Topic,7.90,6.32
28,"Funko DC Comics The Flash Pop! Television Jay Garrick Vinyl Figure, ",Hot Topic,12.50,9.00
29,"Funko Star Wars Pop! RD-D2 (Holiday) Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
30,"Funko DC Comics The Flash Pop! Television Vibe Vinyl Figure, ",Hot Topic,12.50,9.00
31,"Funko Horror Mystery Box Hot Topic Exclusive, ",Hot Topic,32.90,26.32
32,"Funko DC Comics The Flash Pop! Television Kid Flash Vinyl Figure, ",Hot Topic,12.50,9.00
33,"Funko Star Wars Pop! Chewbacca (Holiday) Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
34,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Supercute Plushies, ",Hot Topic,12.90,10.32
35,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pop! Baby Nifflers Vinyl Figure Set, ",Hot Topic,24.50,19.60
36,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Matagot Glow-In-The-Dark Vinyl Figure, ",Hot Topic,12.50,9.00
37,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Grey Baby Niffler Collectible Plush, ",Hot Topic,12.90,10.32
38,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Black & White Baby Niffler Collectible Plush, ",Hot Topic,12.90,10.32
39,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,10.32
40,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Grey) Key Chain, ",Hot Topic,7.90,6.32
41,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Chupacabra Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
42,"Funko Beetlejuice Pop! Movies Beetlejuice Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
43,"Funko Gremlins Vynl. Gizmo & Stripe Vinyl Figures, ",Hot Topic,18.90,15.12
44,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Niffler Collectible Plush, ",Hot Topic,12.90,10.32
45,"Funko Bendy And The Ink Machine Pop! Games Striker Vinyl Figure, ",Hot Topic,12.50,9.00
46,"Funko Beetlejuice Pop! Movies Lydia Deetz Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,29.99
47,"Funko Bendy And The Ink Machine Pop! Games Fisher Vinyl Figure, ",Hot Topic,12.50,9.00
48,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pickett Pop! Key Chain, ",Hot Topic,7.90,6.32
49,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Pop! Key Chain, ",Hot Topic,7.90,6.32
50,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
51,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
52,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
53,"Funko Marvel Studios The First Ten Years Pop! Red Skull Vs. Captain America Movie Moments Vinyl Collectibles, ",Hot Topic,36.50,29.20
54,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
55,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
56,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
57,"Funko Marvel Black Panther Pop! T'Challa (Black Robe) Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
58,"Funko The Nightmare Before Christmas Pop! Vampire Teddy With Duck Vinyl Figure, ",Hot Topic,12.50,9.00
59,"Funko Marvel Runaways Pop! Karolina Dean Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
60,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
